run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:12:36Z,20260423T021236Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,12,16,50,66829099,66836578,83536.373750,83545.722500,371272.772222,371314.322222,7425.455444,7426.286444,23756,68616,0,93731.812540,93822.889009,117.164766,117.278611,257.239966,257.423686,1,
1,2026-04-23T02:12:36Z,20260423T021236Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,12,16,20,51190502,51186751,39992.579688,39989.649219,284391.677778,284370.838889,14219.583889,14218.541944,23756,68616,0,71988.760513,72390.497946,56.241219,56.555077,257.822086,259.376994,1,
1,2026-04-23T02:12:36Z,20260423T021236Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,12,16,10,74512811,74497491,29106.566797,29100.582422,413960.061111,413874.950000,41396.006111,41387.495000,23756,68616,0,104066.850548,105239.207686,40.651113,41.109066,256.203971,259.130090,1,
1,2026-04-23T02:12:36Z,20260423T021236Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,12,16,5,135091310,135056769,26385.021484,26378.275195,750507.277778,750315.383333,150101.455556,150063.076667,23756,68616,0,189239.722452,188776.552649,36.960883,36.870420,256.955536,256.424556,1,
1,2026-04-23T02:12:36Z,20260423T021236Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,12,16,3,315858506,315773296,25704.631022,25697.696615,1754769.477778,1754296.088889,584923.159259,584765.362963,23756,68616,0,306062.498745,304499.027594,24.907430,24.780194,177.678603,176.864010,1,
1,2026-04-23T02:12:36Z,20260423T021236Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,12,16,2,836715635,836486635,25534.534760,25527.546234,4648420.194444,4647147.972222,2324210.097222,2323573.986111,23756,68616,0,747612.712195,635429.531218,22.815329,19.391770,163.914210,139.382969,1,
2,2026-04-23T02:13:21Z,20260423T021321Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,12,16,50,66829099,66836578,83536.373750,83545.722500,371272.772222,371314.322222,7425.455444,7426.286444,23756,68616,0,93498.449840,94774.681500,116.873062,118.468352,256.533516,260.057435,1,
2,2026-04-23T02:13:21Z,20260423T021321Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,12,16,20,51190502,51186751,39992.579688,39989.649219,284391.677778,284370.838889,14219.583889,14218.541944,23756,68616,0,73225.617863,72955.220790,57.207514,56.996266,262.369250,261.371145,1,
2,2026-04-23T02:13:21Z,20260423T021321Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,12,16,10,74512811,74497491,29106.566797,29100.582422,413960.061111,413874.950000,41396.006111,41387.495000,23756,68616,0,105069.659757,106211.590328,41.042836,41.488902,258.652905,261.524384,1,
2,2026-04-23T02:13:21Z,20260423T021321Z_aes_128_gcm_stm32_armv7e_m,aes_128_gcm,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,12,16,5,135091310,135056769,26385.021484,26378.275195,750507.277778,750315.383333,150101.455556,150063.076667,23756,68616,0,192601.350221,191556.537598,37.617451,37.413386,261.553353,260.289138,1,
