run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T19:42:37Z,20260423T194237Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,13349647,13250095,834.352938,828.130937,106797.176000,106000.760000,106.797176,106.000760,45704,54300,0,34995.837004,35392.003063,2.187240,2.212000,327.829855,333.985284,1,
1,2026-04-23T19:42:37Z,20260423T194237Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,21604245,20940070,337.566328,327.188594,172833.960000,167520.560000,172.833960,167.520560,45704,54300,0,56751.996852,55346.951001,0.886750,0.864796,328.402152,330.429558,1,
1,2026-04-23T19:42:37Z,20260423T194237Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,54472265,51551991,212.782285,201.374965,435778.120000,412415.928000,435.778120,412.415928,45704,54300,0,141455.491536,134398.235452,0.552561,0.524993,324.625339,325.912666,1,
1,2026-04-23T19:42:37Z,20260423T194237Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,92972274,87001019,181.586473,169.923865,743778.192000,696008.152000,1487.556384,1392.016304,45704,54300,0,205531.160762,202560.425210,0.401428,0.395626,276.344418,291.048162,1,
1,2026-04-23T19:42:37Z,20260423T194237Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,142366837,132760974,173.787643,162.061736,1138934.696000,1062087.792000,5694.673480,5310.438960,45704,54300,0,221941.021238,218903.611346,0.270924,0.267216,194.872072,206.117863,1,
1,2026-04-23T19:42:37Z,20260423T194237Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,281538757,262298799,171.837620,160.094482,2252310.056000,2098390.392000,22523.100560,20983.903920,45704,54300,0,309027.426904,248618.318838,0.188615,0.151745,137.208315,118.484887,1,
2,2026-04-23T19:43:26Z,20260423T194326Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,13349011,13249593,834.313188,828.099563,106792.088000,105996.744000,106.792088,105.996744,45704,54300,0,35400.945630,35113.109470,2.212559,2.194569,331.624783,331.451181,1,
2,2026-04-23T19:43:26Z,20260423T194326Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,21604286,20939817,337.566969,327.184641,172834.288000,167518.536000,172.834288,167.518536,45704,54300,0,57110.054248,55376.292231,0.892345,0.865255,330.474093,330.666421,1,
2,2026-04-23T19:43:26Z,20260423T194326Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,54472506,51552647,212.783227,201.377527,435780.048000,412421.176000,435.780048,412.421176,45704,54300,0,144708.061767,137005.760418,0.565266,0.535179,332.089643,332.235854,1,
2,2026-04-23T19:43:26Z,20260423T194326Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,92972326,87001207,181.586574,169.924232,743778.608000,696009.656000,1487.557216,1392.019312,45704,54300,0,208959.597903,202281.962714,0.408124,0.395082,280.954081,290.661105,1,
2,2026-04-23T19:43:26Z,20260423T194326Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,142366960,132760915,173.787793,162.061664,1138935.680000,1062087.320000,5694.678400,5310.436600,45704,54300,0,221485.118736,216658.779489,0.270368,0.264476,194.477110,204.004147,1,
2,2026-04-23T19:43:26Z,20260423T194326Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,281538673,262299108,171.837569,160.094670,2252309.384000,2098392.864000,22523.093840,20983.928640,45704,54300,0,310050.453889,245535.633330,0.189240,0.149863,137.662539,117.015761,1,
3,2026-04-23T19:44:14Z,20260423T194414Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,13348974,13249716,834.310875,828.107250,106791.792000,105997.728000,106.791792,105.997728,45704,54300,0,35078.115071,34737.658407,2.192382,2.171104,328.600610,327.810401,1,
3,2026-04-23T19:44:14Z,20260423T194414Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,21604324,20940479,337.567563,327.194984,172834.592000,167523.832000,172.834592,167.523832,45704,54300,0,56815.799305,55259.218425,0.887747,0.863425,328.771352,329.967343,1,
3,2026-04-23T19:44:14Z,20260423T194414Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,54472263,51552568,212.782277,201.377219,435778.104000,412420.544000,435.778104,412.420544,45704,54300,0,142940.622961,135169.777085,0.558362,0.528007,328.033558,327.783636,1,
3,2026-04-23T19:44:14Z,20260423T194414Z_gift_cofb_pico_armv6_m,gift_cofb,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,92972347,87001262,181.586615,169.924340,743778.776000,696010.096000,1487.557552,1392.020192,45704,54300,0,206074.446046,202039.008392,0.402489,0.394607,277.074885,290.312001,1,
