run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T19:48:02Z,20260423T194802Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,12,16,50,95466913,95458048,119333.641250,119322.560000,763735.304000,763664.384000,15274.706080,15273.287680,43712,54616,0,249366.297641,252359.030750,311.707872,315.448788,326.515877,330.461554,1,
1,2026-04-23T19:48:02Z,20260423T194802Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,12,16,20,73192818,73179153,57181.889062,57171.213281,585542.544000,585433.224000,29277.127200,29271.661200,43712,54616,0,192798.607011,192802.135562,150.623912,150.626668,329.288825,329.347587,1,
1,2026-04-23T19:48:02Z,20260423T194802Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,12,16,10,106608537,106578580,41643.959766,41632.257812,852868.296000,852628.640000,85286.829600,85262.864000,43712,54616,0,278883.064755,278667.578886,108.938697,108.854523,327.015686,326.846847,1,
1,2026-04-23T19:48:02Z,20260423T194802Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,12,16,5,193328005,193268008,37759.375977,37747.657813,1546624.040000,1546144.064000,309324.808000,309228.812800,43712,54616,0,407442.337993,409795.357176,79.578582,80.038156,263.450289,265.052075,1,
1,2026-04-23T19:48:02Z,20260423T194802Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,12,16,3,452054326,451908176,36788.275228,36776.381510,3616434.608000,3615265.408000,1205478.202667,1205088.469333,43712,54616,0,836679.476035,838806.234816,68.089150,68.262226,231.358605,232.022885,1,
1,2026-04-23T19:48:02Z,20260423T194802Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,12,16,2,1197522802,1197130472,36545.495667,36533.522705,9580182.416000,9577043.776000,4790091.208000,4788521.888000,43712,54616,0,2099683.305290,2091837.976523,64.077249,63.837829,219.172193,218.425233,1,
2,2026-04-23T19:49:49Z,20260423T194949Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,12,16,50,95467038,95458273,119333.797500,119322.841250,763736.304000,763666.184000,15274.726080,15273.323680,43712,54616,0,250673.289154,249101.710040,313.341611,311.377138,328.240660,326.222825,1,
2,2026-04-23T19:49:49Z,20260423T194949Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,12,16,20,73192971,73178475,57182.008594,57170.683594,585543.768000,585427.800000,29277.188400,29271.390000,43712,54616,0,192186.941022,193226.670173,150.146048,150.958336,328.244135,330.090404,1,
2,2026-04-23T19:49:49Z,20260423T194949Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,12,16,10,106608436,106578400,41643.920312,41632.187500,852867.488000,852627.200000,85286.748800,85262.720000,43712,54616,0,280572.017196,280494.817095,109.598444,109.568288,328.984081,328.989999,1,
2,2026-04-23T19:49:49Z,20260423T194949Z_aes_128_gcm_pico_armv6_m,aes_128_gcm,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,12,16,5,193328130,193267172,37759.400391,37747.494531,1546625.040000,1546137.376000,309325.008000,309227.475200,43712,54616,0,411065.023985,409364.804168,80.286137,79.954063,265.792701,264.773597,1,
